target,pos,score_externe,commentaire
voix,NOM,3,"son vocal / opinion / influence"
pied,NOM,3,"partie du corps / unité de mesure / emplois figés"
cour,NOM,3,"espace extérieur / cour royale / faire la cour"
feu,NOM,4,"élément ou flamme / incendie / lumière / arme ou tir"
entendre,VERBE,2,"percevoir par l'ouïe / comprendre"
plume,NOM,3,"plume d'oiseau / instrument d'écriture / style"
passer,VERBE,4,"traverser / temps qui s'écoule / séjourner / être accepté"
campagne,NOM,2,"espace rural / campagne militaire ou politique"
glace,NOM,3,"miroir / eau gelée / dessert"
ombre,NOM,2,"absence de lumière / apparition ou trace symbolique"
baron,NOM,1,"titre nobiliaire ou personne portant ce titre"
