target,n_occurrences,cosine_mean,cosine_std,cosine_min,cosine_max,pos,score_externe,commentaire,rang_camembert,rang_externe
voix,100,0.7583422363913059,0.14094434451955423,0.10754562967588192,0.968884805901351,NOM,3,son vocal / opinion / influence,1,3
pied,100,0.6880263881196137,0.12547618319520784,0.13781043114226194,0.9599730417566569,NOM,3,partie du corps / unité de mesure / emplois figés,2,3
cour,100,0.7860821800454574,0.12384860991163131,0.20126256796130274,0.9805747974083339,NOM,3,espace extérieur / cour royale / faire la cour,3,3
feu,100,0.8044600817024087,0.11448421125661981,0.19348153754147351,0.9734628156129183,NOM,4,élément ou flamme / incendie / lumière / arme ou tir,4,1
entendre,100,0.7652363531366925,0.1108803404971584,0.2902505784001726,0.9680456051779042,VERBE,2,percevoir par l'ouïe / comprendre,5,8
plume,52,0.7917776637286337,0.09600564387761057,0.21942664978999837,0.9458391274190067,NOM,3,plume d'oiseau / instrument d'écriture / style,6,3
passer,100,0.7497656287864378,0.09183288119631186,0.33369700592641527,0.9600390997306463,VERBE,4,traverser / temps qui s'écoule / séjourner / être accepté,7,1
campagne,100,0.8207930196619515,0.08819372806612548,0.3977987283124132,0.9721448187882642,NOM,2,espace rural / campagne militaire ou politique,8,8
glace,55,0.8166435685755525,0.07384151432989404,0.4578515396720589,0.9558126646129779,NOM,3,miroir / eau gelée / dessert,9,3
ombre,47,0.8664806687604861,0.05590715969919889,0.6485822544753048,0.9664226447232311,NOM,2,absence de lumière / apparition ou trace symbolique,10,8
baron,100,0.9195379685604561,0.04025028814501923,0.6631790105170006,0.9846975393961321,NOM,1,titre nobiliaire ou personne portant ce titre,11,11
